OrderID,OrderDate,Product,Category,Quantity,UnitPrice,Discount,Region,Channel,CustomerID,TotalAmount
10001,2024-02-11T00:00:00.000000000,Laptop,Electronics,8,927.18,0.1,West,Store,1692.0,6675.7
10002,2024-08-25T00:00:00.000000000,Charger,Accessories,7,27.46,0.0,East,Online,1533.0,192.22
10003,2024-12-17T00:00:00.000000000,Mouse,Accessories,6,45.21,0.15,West,Partner,1997.0,230.57
10004,2024-11-12T00:00:00.000000000,Monitor,Electronics,8,346.89,0.0,West,Store,1771.0,2775.12
10005,2024-04-10T00:00:00.000000000,Monitor,Electronics,2,368.19,0.0,East,Online,1016.0,736.38
10006,2024-06-14T00:00:00.000000000,Cable,Accessories,9,13.78,0.0,South,Store,1378.0,124.02
10007,2024-07-12T00:00:00.000000000,Laptop,Electronics,8,948.27,0.05,East,Online,1289.0,7206.85
10008,2024-03-31T00:00:00.000000000,Mouse,Accessories,5,55.33,0.1,South,Partner,1587.0,248.98
10009,2024-04-08T00:00:00.000000000,Tablet,Electronics,7,431.42,0.0,East,Partner,1265.0,3019.94
10010,2024-03-27T00:00:00.000000000,Laptop,Electronics,5,987.24,0.0,West,Partner,1966.0,4936.2
10011,2024-12-29T00:00:00.000000000,Keyboard,Accessories,3,84.01,0.0,South,Online,1299.0,252.03
10012,2024-09-29T00:00:00.000000000,Stand,Furniture,8,79.67,0.15,East,Online,1521.0,541.76
10013,2024-11-02T00:00:00.000000000,Charger,Accessories,3,25.06,0.2,North,Online,1122.0,60.14
10014,2024-10-25T00:00:00.000000000,Charger,Accessories,3,25.85,0.15,East,Online,1909.0,65.92
10015,2024-12-16T00:00:00.000000000,Charger,Accessories,5,32.64,0.0,South,Online,1911.0,163.2
10016,2024-02-08T00:00:00.000000000,Charger,Accessories,8,24.73,0.15,South,Online,1793.0,168.16
10017,2024-11-17T00:00:00.000000000,Keyboard,Accessories,4,71.61,,East,Partner,1351.0,257.8
10018,2024-01-25T00:00:00.000000000,Phone,Electronics,5,600.71,0.05,North,Online,1058.0,2853.37
10019,2024-06-22T00:00:00.000000000,Cable,Accessories,1,13.25,0.0,East,Online,1710.0,13.25
10020,2024-08-04T00:00:00.000000000,Monitor,Electronics,2,361.58,0.2,East,Store,1429.0,578.53
10021,2024-05-10T00:00:00.000000000,Keyboard,Accessories,1,72.88,0.05,South,Store,1990.0,69.24
10022,2024-02-23T00:00:00.000000000,Headphones,Accessories,1,152.09,0.0,North,Store,1698.0,152.09
10023,2024-03-11T00:00:00.000000000,Phone,Electronics,8,717.91,0.0,South,Store,1538.0,5743.28
10024,2024-10-28T00:00:00.000000000,Stand,Furniture,8,98.33,0.0,North,Partner,1986.0,786.64
10025,2024-04-26T00:00:00.000000000,Charger,Accessories,8,24.69,0.0,South,Store,1800.0,197.52
10026,2024-04-23T00:00:00.000000000,Mouse,Accessories,1,54.19,0.0,East,Online,1458.0,54.19
